Pump Name,DIESEL PRICE AS ON 10.06.16
Adi Filling Station                     ,51.76
Adipura Filling Station,58.48
Agni Filling Station,58.08
Ambica Service Station                  ,58.61
Anjur Service Station,57.68
Ashirwad Filling Station                ,54.30
Bagavathi Priya Energy Management service,55.41
Bhaskar Enterprises                     ,58.93
Bombay Service Station ,0.00
Bp Taloja                               ,57.64
Chaitanya Petroleum                     ,56.31
Charminar Service Station               ,58.72
Chennikkara Fuels,58.13
Coco-hirehally Service Station          ,58.09
Dhami Petroleums                  ,57.83
Expressway Fuel Station,58.93
Gati Limited ,57.74
Goel Brothers,58.67
Haveli Petroleum,54.68
Jaswantson Services,58.32
Krishna Petrolium Centre                ,55.00
Lakshmi Venkata Sai Filling Station     ,58.47
M.r. Agencies,54.36
M/s. Shah And Co                        ,59.79
Magesh Fuel Station,55.56
Maruti Motors                           ,54.27
Paliwal Service Station                 ,0.00
Pearl Valley Filling Centre,57.66
Raj Automobiles                         ,53.93
Ram Agency                              ,56.10
Sai Ram Filling Station                 ,58.52
Sardar Singh Sahni & Co                 ,60.43
Shiv Service Station                    ,53.84
Shree Veera Kumar Petro Fills           ,55.89
Shri Krishan Filling Station            ,56.29
Shri Narayan Enterprises                ,54.39
Shubham Petroleum                       ,57.87
Siddeshwar Petroleums                   ,58.29
Sree Lakshmi Agencies                   ,55.74
Sree Thirumal Thunai Agencies  ,55.59
Sri Kartikeya Subramanya Service Station,57.35
Sri Ravi Filling Station,59.16
Surendra Auto Service                   ,55.58
Tiwari Petroleum                        ,57.60
